Chất liệu vỏ,Thương hiệu,Độ chịu nước (ATM),Xuất xứ,Kích cỡ (mm),Bảo hành,Kiểu máy,Giá tiền (VNĐ)
-2.157888700300302,0.9850257052103384,0.8755384611667835,1.2721207885213826,-0.769693568309549,-0.8866101431139238,0.9117626000055424,540000.0
-2.157888700300302,0.9850257052103384,0.8755384611667835,1.2721207885213826,1.5020274671967855,-0.8866101431139238,0.9117626000055424,864000.0
0.16867593614207158,0.7932932078457956,-0.21377844230666412,-0.8445527364725985,0.5284327376940707,-0.8866101431139238,-1.1526055509504027,3540000.0
0.16867593614207158,0.15418488329731986,-0.6495052036960431,0.42545137852379017,0.12276826706793952,2.9404839998238774,-1.1526055509504027,50490000.0
0.16867593614207158,0.6015607104812529,-0.6495052036960431,0.42545137852379017,0.3661669494436182,0.38908790453200987,0.9117626000055424,9700000.0
0.16867593614207158,-1.6353184254384123,-0.21377844230666412,0.002116673524993936,0.6906985259445232,0.38908790453200987,-1.1526055509504027,6912000.0
0.16867593614207158,1.176758202574881,0.8755384611667835,-0.8445527364725985,-0.2828962035581916,-0.8866101431139238,0.9117626000055424,4374000.0
0.16867593614207158,0.4098282131167102,-0.21377844230666412,0.42545137852379017,-1.4187567213113588,0.38908790453200987,-1.1526055509504027,18738000.0
0.16867593614207158,-0.35710177634146073,0.8755384611667835,0.42545137852379017,0.04163537294271329,0.38908790453200987,-1.1526055509504027,23188000.0
0.16867593614207158,-1.060120933344784,0.8755384611667835,-0.8445527364725985,0.8529643141949756,-0.8866101431139238,-0.8085441924577452,10115000.0
0.16867593614207158,-1.060120933344784,-0.6495052036960431,-0.8445527364725985,-3.6904777568176934,-0.8866101431139238,0.9117626000055424,4160000.0
0.16867593614207158,-1.6353184254384123,-0.6495052036960431,0.002116673524993936,-1.2564909330609064,0.38908790453200987,0.9117626000055424,4482000.0
0.16867593614207158,-1.060120933344784,-0.6495052036960431,-0.8445527364725985,0.20390116119316576,-0.8866101431139238,-0.8085441924577452,8530000.0
-2.157888700300302,0.9850257052103384,0.8755384611667835,1.2721207885213826,1.5020274671967855,-0.8866101431139238,0.9117626000055424,885600.0
0.16867593614207158,-1.060120933344784,0.8755384611667835,-0.8445527364725985,1.015230102445428,-0.8866101431139238,-0.8085441924577452,8090000.0
0.16867593614207158,0.8572040403006432,-0.21377844230666412,2.542124903517771,0.3661669494436182,0.38908790453200987,-1.1526055509504027,10223100.0
0.16867593614207158,-0.7405667710705462,-0.21377844230666412,0.42545137852379017,0.5284327376940707,0.38908790453200987,-1.1526055509504027,32490000.0
0.16867593614207158,1.5602231973039666,-0.21377844230666412,0.42545137852379017,0.5284327376940707,0.38908790453200987,0.9117626000055424,12600000.0
0.16867593614207158,1.176758202574881,0.8755384611667835,-0.8445527364725985,0.8205111565448846,-0.8866101431139238,1.2558239584981998,7130000.0
0.16867593614207158,1.3684906999394237,-0.21377844230666412,-0.8445527364725985,0.3661669494436182,-0.8866101431139238,-1.1526055509504027,3850000.0
0.16867593614207158,-1.5714075929835647,-0.21377844230666412,0.42545137852379017,0.6906985259445232,0.38908790453200987,-1.1526055509504027,29403000.0
0.16867593614207158,0.15418488329731986,-0.6495052036960431,0.42545137852379017,-1.9055540860627163,2.9404839998238774,-1.1526055509504027,41400000.0
0.16867593614207158,-1.060120933344784,-0.21377844230666412,1.2721207885213826,-1.2564909330609064,0.38908790453200987,0.9117626000055424,3240000.0
0.16867593614207158,-0.9322992684350889,-0.6495052036960431,0.8487860835225863,-2.5546172390645263,0.38908790453200987,0.9117626000055424,5195000.0
0.16867593614207158,-1.507496760528717,-0.6495052036960431,3.3887943135153633,0.6095656318192969,0.38908790453200987,0.9117626000055424,15597000.0
0.16867593614207158,-1.5714075929835647,-0.21377844230666412,0.42545137852379017,0.6906985259445232,0.38908790453200987,-1.1526055509504027,23688000.0
0.16867593614207158,-1.060120933344784,-0.21377844230666412,-0.8445527364725985,-1.82442119193749,-0.8866101431139238,0.9117626000055424,3520000.0
0.16867593614207158,0.7293823753909481,-0.6495052036960431,0.42545137852379017,0.20390116119316576,-0.8866101431139238,0.9117626000055424,3180000.0
0.16867593614207158,1.176758202574881,-0.21377844230666412,-0.8445527364725985,0.44729984356884445,-0.8866101431139238,-1.1526055509504027,14220000.0
0.16867593614207158,0.6015607104812529,-0.6495052036960431,0.42545137852379017,-2.148952768438395,0.38908790453200987,0.9117626000055424,9230000.0
4.821805209026818,-0.4849234412511559,-0.6495052036960431,0.42545137852379017,0.6906985259445232,0.38908790453200987,-1.1526055509504027,275944000.0
0.16867593614207158,-0.10145844652207044,-0.21377844230666412,0.42545137852379017,0.6906985259445232,0.38908790453200987,-1.1526055509504027,19990000.0
0.16867593614207158,-0.9322992684350889,-0.6495052036960431,0.8487860835225863,0.3661669494436182,0.38908790453200987,0.9117626000055424,5409000.0
0.16867593614207158,0.7932932078457956,-0.6495052036960431,-0.8445527364725985,0.20390116119316576,-0.8866101431139238,-1.1526055509504027,5070000.0
0.16867593614207158,1.176758202574881,0.8755384611667835,-0.8445527364725985,0.6906985259445232,-0.8866101431139238,-1.1526055509504027,6390000.0
0.16867593614207158,-1.060120933344784,0.8755384611667835,-0.8445527364725985,1.015230102445428,-0.8866101431139238,0.9117626000055424,6385000.0
0.16867593614207158,-0.10145844652207044,-0.21377844230666412,0.42545137852379017,0.3661669494436182,0.38908790453200987,-1.1526055509504027,5800000.0
0.16867593614207158,-1.060120933344784,-0.21377844230666412,-0.8445527364725985,0.3661669494436182,-0.8866101431139238,-0.8085441924577452,8985000.0
