Thương hiệu,Giá tiền (VNĐ),Chất liệu dây,Chất liệu vỏ,Xuất xứ,Giới tính,Chất liệu mặt kính,Độ chịu nước (ATM),Bảo hành,Kiểu máy,Kích cỡ (mm)
Certina,19610000,Thép không gỉ,Thép không gỉ,Thụy Sĩ,Nam,Kính sapphire,10,2,Automatic,40
Tissot,26775000,Thép không gỉ,Thép không gỉ,Thụy Sĩ,Nữ,Kính sapphire,3,2,Automatic,32
Citizen,3272500,Thép không gỉ,Thép không gỉ,Nhật Bản,Nữ,Kính cứng,5,1,Quartz,35
Olym Pianus,3130000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nữ,Kính sapphire,3,2,Quartz,25
Tissot,34650000,Dây da,Thép không gỉ,Thụy Sĩ,Nữ,Kính sapphire,5,2,Quartz,31.6
Olym Pianus,4482000,Thép không gỉ,Thép không gỉ,Thụy Sĩ,Nam,Kính sapphire,3,2,Automatic,40
Titoni,27228050,Thép không gỉ,Thép không gỉ,Thụy Sĩ,Nữ,Kính sapphire,10,2,Automatic,33.5
Daniel Wellington,5195000,Thép không gỉ,Thép không gỉ,Thụy Điển,Nữ,Kính cứng,3,2,Quartz,32
,4490000,Dây da,Thép không gỉ,Nhật Bản,Nam,Kính cứng,5,1,Quartz,39
Citizen,4275000,Dây da,Thép không gỉ,Trung Quốc,Nam,Kính cứng,5,1,Automatic,41
Fossil,3750000,Thép không gỉ,Thép không gỉ,Mỹ,Nam,Kính cứng,10,2,Quartz,42
Seiko,5600000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nữ,Kính sapphire,5,1,Quartz,29
Citizen,5950000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nam,Kính sapphire,5,1,Eco-Drive,40
Q&Q Citizen,1347300,Hợp kim Titanium,Hợp kim Titanium,Trung Quốc,Nữ,Kính cứng,3,1,Quartz,38
Casio,2709000,,,Trung Quốc,Nam,Kính cứng,5,1,Quartz,46.8
Bruno Sohnle,13230000,Dây da,Thép không gỉ,Đức,Nam,Kính sapphire,5,2,Quartz,42
Kassaw,7155000,Dây da,Thép không gỉ,Thụy Sĩ,Nam,Kính sapphire,5,2,Automatic,42
Seiko,6912000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nữ,Kính hardlex,3,1,Quartz,34
Seiko,14220000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nam,Kính hardlex,5,1,Automatic,40.5
Citizen,9077000,Dây da,Thép không gỉ,Nhật Bản,Nam,Kính cứng,5,1,Automatic,40.2
Seiko,6280000,Dây da,Thép không gỉ,Nhật Bản,Nữ,Kính hardlex,3,1,Solar,27
Philippe Auguste,6287400,Thép không gỉ,Thép không gỉ,Trung Quốc,Nam,Kính sapphire,5,2,Quartz,39
Casio,4663800,,,,Nam,Kính cứng,10,1,Quartz,45.4
Citizen,9685000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nữ,Kính sapphire,5,1,Eco-Drive,30
Olympia Star,4200000,Thép không gỉ,Thép không gỉ,Thụy Sĩ,Nam,Kính sapphire,3,1,Quartz,39
Orient,7560000,Dây da,Thép không gỉ,Nhật Bản,Nam,Kính sapphire,5,1,Automatic,43
Freelook,2030000,Dây da,Thép không gỉ,Pháp,Nữ,Kính cứng,3,2,Quartz,nan
Orient,3918500,Dây da,Thép không gỉ,Nhật Bản,Nam,Kính cứng,10,1,Automatic,44
Seiko,4068000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nam,Kính sapphire,10,1,Quartz,40
Teintop,2890000,Thép không gỉ,Thép không gỉ,Mỹ,Nam,Kính sapphire,3,1,Automatic,40
Freelook,1494000,Dây da,Thép không gỉ,Pháp,Nữ,Kính cứng,5,2,Quartz,32
Kassaw,4850000,Thép không gỉ,Thép không gỉ,Thụy Sĩ,Nam,Kính sapphire,5,2,Automatic,41.5
Bruno Sohnle,13230000,Dây da,Thép không gỉ,Đức,Nam,Kính sapphire,5,2,Quartz,42
Seiko,7790000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nữ,Kính hardlex,5,1,Quartz,32
Casio,5971000,Dây da,,Nhật Bản,Nữ,Kính sapphire,3,1,Quartz,28
